size_tag,data_size,model,loss,sym_error,params,best_epoch,stopped_epoch,architecture,augment,requested_data_size,train_size,valid_size,batch_size,test_size,max_epochs,early_stopping_patience,early_stopping_min_delta
large,1000,shared_aug,0.8083981275558472,2.1836575516548384e-12,16552,73,93,E(4->32) - E(32->64) - E(64->16) - E(16->4),True,1000,800,200,128,24950,400,20,0.0
large,5000,vanilla,0.1408696323633194,2.601702928543091,29724,383,400,L(12->96) - L(96->192) - L(192->48) - L(48->12),False,5000,4000,1000,256,24950,400,20,0.0
large,5000,vanilla_aug,0.4046578109264374,0.2088877409696579,29724,382,400,L(12->96) - L(96->192) - L(192->48) - L(48->12),True,5000,4000,1000,256,24950,400,20,0.0
large,5000,shared,0.5655329823493958,2.0145738376109446e-12,16552,389,400,E(4->32) - E(32->64) - E(64->16) - E(16->4),False,5000,4000,1000,256,24950,400,20,0.0
large,5000,shared_aug,0.5513536334037781,2.096410501792323e-12,16552,316,336,E(4->32) - E(32->64) - E(64->16) - E(16->4),True,5000,4000,1000,256,24950,400,20,0.0
large,20000,vanilla,0.04881836101412773,1.6883219480514526,29724,327,347,L(12->96) - L(96->192) - L(192->48) - L(48->12),False,20000,16000,4000,512,24950,400,20,0.0
large,20000,vanilla_aug,0.15699821710586548,0.1271909773349762,29724,387,400,L(12->96) - L(96->192) - L(192->48) - L(48->12),True,20000,16000,4000,512,24950,400,20,0.0
large,20000,shared,0.22845667600631714,3.2262111818864847e-12,16552,394,400,E(4->32) - E(32->64) - E(64->16) - E(16->4),False,20000,16000,4000,512,24950,400,20,0.0
large,20000,shared_aug,0.19399477541446686,2.794878911638321e-12,16552,395,400,E(4->32) - E(32->64) - E(64->16) - E(16->4),True,20000,16000,4000,512,24950,400,20,0.0
large,40000,vanilla,0.03162577375769615,1.4353750944137573,29724,266,286,L(12->96) - L(96->192) - L(192->48) - L(48->12),False,40000,32000,8000,512,24950,400,20,0.0
large,40000,vanilla_aug,0.09232103079557419,0.10987181216478348,29724,400,400,L(12->96) - L(96->192) - L(192->48) - L(48->12),True,40000,32000,8000,512,24950,400,20,0.0
large,40000,shared,0.057918041944503784,3.286261237092636e-12,16552,400,400,E(4->32) - E(32->64) - E(64->16) - E(16->4),False,40000,32000,8000,512,24950,400,20,0.0
large,40000,shared_aug,0.0529550202190876,3.494493540021071e-12,16552,399,400,E(4->32) - E(32->64) - E(64->16) - E(16->4),True,40000,32000,8000,512,24950,400,20,0.0
