k_sym,n_total,size_tag,data_size,seed,model,loss,symmetry_error,n_params
2,4,small,2000,3,shared,9404.6552734375,1.383655828801622e-10,3948
2,4,small,2000,3,shared_aug,9786.544921875,1.3375808793902877e-10,3948
2,4,small,2000,4,vanilla,6620.638671875,3440.927734375,3952
2,4,small,2000,4,vanilla_aug,7276.45458984375,1440.2481689453125,3952
2,4,small,2000,4,shared,7303.24267578125,8.39718711231896e-11,3948
2,4,small,2000,4,shared_aug,7993.02880859375,8.419756558630809e-11,3948
2,4,small,8000,0,vanilla,5032.73828125,3137.48681640625,3952
2,4,small,8000,0,vanilla_aug,3810.48193359375,547.261962890625,3952
2,4,small,8000,0,shared,3086.046630859375,2.63738891836951e-10,3948
2,4,small,8000,0,shared_aug,2792.87060546875,2.5883928334025086e-10,3948
2,4,small,8000,1,vanilla,14301.6513671875,13228.01953125,3952
2,4,small,8000,1,vanilla_aug,3947.829345703125,2476.723388671875,3952
2,4,small,8000,1,shared,3970.36181640625,6.163757282351412e-10,3948
2,4,small,8000,1,shared_aug,4923.13818359375,6.219664783202461e-10,3948
2,4,small,8000,2,vanilla,9116.974609375,5561.1787109375,3952
2,4,small,8000,2,vanilla_aug,3492.16943359375,2078.387451171875,3952
2,4,small,8000,2,shared,5445.9267578125,5.897436983204329e-10,3948
2,4,small,8000,2,shared_aug,5298.92822265625,5.796325641682643e-10,3948
2,4,small,8000,3,vanilla,2111.026123046875,1833.7509765625,3952
2,4,small,8000,3,vanilla_aug,947.1348266601562,403.0775146484375,3952
2,4,small,8000,3,shared,1474.6036376953125,8.424682479413192e-11,3948
2,4,small,8000,3,shared_aug,1343.7852783203125,9.736724621012272e-11,3948
2,4,small,8000,4,vanilla,1660.4945068359375,3619.3037109375,3952
2,4,small,8000,4,vanilla_aug,718.3124389648438,916.1953735351562,3952
2,4,small,8000,4,shared,2183.635986328125,3.531859249505942e-10,3948
2,4,small,8000,4,shared_aug,2196.944091796875,3.610063636916294e-10,3948
2,4,medium,500,0,vanilla,536.4937133789062,112.71672058105469,20272
2,4,medium,500,0,vanilla_aug,404.07794189453125,13.10386848449707,20272
2,4,medium,500,0,shared,458.8447265625,5.471301363357828e-12,14972
2,4,medium,500,0,shared_aug,573.870361328125,9.76201931790488e-12,14972
2,4,medium,500,1,vanilla,148.42303466796875,33.35734939575195,20272
2,4,medium,500,1,vanilla_aug,161.67857360839844,10.384801864624023,20272
2,4,medium,500,1,shared,140.2318572998047,2.927970583002648e-12,14972
2,4,medium,500,1,shared_aug,157.97694396972656,2.6197542399297724e-12,14972
2,4,medium,500,2,vanilla,393.66815185546875,170.4403533935547,20272
2,4,medium,500,2,vanilla_aug,129.63858032226562,4.031747817993164,20272
2,4,medium,500,2,shared,155.7845458984375,6.308344471794847e-12,14972
2,4,medium,500,2,shared_aug,162.6598663330078,6.482834668392057e-12,14972
2,4,medium,500,3,vanilla,798.7341918945312,73.31949615478516,20272
2,4,medium,500,3,vanilla_aug,739.9020385742188,19.412826538085938,20272
2,4,medium,500,3,shared,677.32470703125,7.534524219809935e-12,14972
2,4,medium,500,3,shared_aug,730.193603515625,8.98503580565313e-12,14972
2,4,medium,500,4,vanilla,374.45758056640625,167.3184051513672,20272
2,4,medium,500,4,vanilla_aug,393.3148498535156,6.378764629364014,20272
2,4,medium,500,4,shared,382.7308654785156,6.816487478633615e-12,14972
2,4,medium,500,4,shared_aug,364.36566162109375,5.447754660575788e-12,14972
2,4,medium,2000,0,vanilla,1278.8779296875,1131.6544189453125,20272
2,4,medium,2000,0,vanilla_aug,1318.63525390625,172.26165771484375,20272
2,4,medium,2000,0,shared,1042.2540283203125,5.0465197992677346e-11,14972
2,4,medium,2000,0,shared_aug,1011.4727172851562,5.3558588120061756e-11,14972
2,4,medium,2000,1,vanilla,1250.1885986328125,958.9360961914062,20272
2,4,medium,2000,1,vanilla_aug,1342.29296875,59.75360870361328,20272
2,4,medium,2000,1,shared,1556.6044921875,5.835126826170267e-11,14972
2,4,medium,2000,1,shared_aug,1444.1402587890625,5.731198501890411e-11,14972
2,4,medium,2000,2,vanilla,2181.808349609375,1083.2957763671875,20272
2,4,medium,2000,2,vanilla_aug,2070.449951171875,146.21664428710938,20272
2,4,medium,2000,2,shared,1894.6490478515625,1.0681752704577718e-10,14972
2,4,medium,2000,2,shared_aug,2581.318603515625,1.3697702694326352e-10,14972
2,4,medium,2000,3,vanilla,6208.1279296875,5138.095703125,20272
2,4,medium,2000,3,vanilla_aug,4726.34716796875,743.556884765625,20272
2,4,medium,2000,3,shared,8122.80859375,2.3157820105979e-10,14972
2,4,medium,2000,3,shared_aug,9293.03515625,2.079726391102099e-10,14972
2,4,medium,2000,4,vanilla,8185.55517578125,4489.5126953125,20272
2,4,medium,2000,4,vanilla_aug,9066.4833984375,2761.911865234375,20272
2,4,medium,2000,4,shared,7718.669921875,1.474891181407756e-10,14972
2,4,medium,2000,4,shared_aug,6772.43310546875,1.1250997355993775e-10,14972
2,4,medium,8000,0,vanilla,5820.7158203125,2296.2353515625,20272
