model depth,data_size,seed,model,loss,accuracy,symmetry_error,n_params
3,500,0,symmetric,0.6798054575920105,0.58,5.572653392205271e-15,38323
3,500,0,vanilla,0.7146615386009216,0.4,7.329091313295067e-05,283970
3,500,0,symmetric_aug,0.6817559599876404,0.58,8.484768334975081e-15,38323
3,500,0,vanilla_aug,0.6925806999206543,0.52,0.0113152118399739,283970
3,500,1,symmetric,0.6600357890129089,0.58,2.810168725392065e-15,38323
3,500,1,vanilla,0.6910345554351807,0.48,0.0001857835188275,283970
3,500,1,symmetric_aug,0.6853498816490173,0.58,8.609224241167869e-16,38323
3,500,1,vanilla_aug,0.6974710822105408,0.48,6.352606942527927e-05,283970
3,500,2,symmetric,0.5892535448074341,0.74,1.0257960998097567e-14,38323
3,500,2,vanilla,0.7216159105300903,0.46,0.0009457385749556,283970
3,500,2,symmetric_aug,0.6284705996513367,0.66,1.9234335863065906e-15,38323
3,500,2,vanilla_aug,0.653964102268219,0.56,0.0196354154497385,283970
3,500,3,symmetric,0.7167924642562866,0.56,7.892353152852243e-15,38323
3,500,3,vanilla,0.7214767932891846,0.42,0.0218076229095459,283970
3,500,3,symmetric_aug,0.6835905313491821,0.58,8.424039121975556e-15,38323
3,500,3,vanilla_aug,0.7089627981185913,0.42,0.0032496149186044,283970
3,500,4,symmetric,0.5777316093444824,0.72,7.49356131684556e-15,38323
3,500,4,vanilla,0.6606184244155884,0.58,0.0847476184368133,283970
3,500,4,symmetric_aug,0.6198728680610657,0.64,6.221356539475292e-15,38323
3,500,4,vanilla_aug,0.6384434700012207,0.64,0.0263825051486492,283970
3,1500,0,symmetric,0.6070206427574157,0.66,1.0247250831168167e-14,38323
3,1500,0,vanilla,0.6884539961814881,0.5066666666666667,0.088152294109265,283970
3,1500,0,symmetric_aug,0.604865760008494,0.6533333333333333,5.120696093308163e-15,38323
3,1500,0,vanilla_aug,0.6496066347757975,0.6466666666666666,0.0209922342250744,283970
3,1500,1,symmetric,0.635692142645518,0.64,7.655963593214555e-15,38323
3,1500,1,vanilla,0.6899440455436706,0.52,0.0016755652536327,283970
3,1500,1,symmetric_aug,0.6557775982220968,0.62,8.104467934067749e-15,38323
3,1500,1,vanilla_aug,0.6653309535980224,0.6066666666666667,0.0272594751169284,283970
3,1500,2,symmetric,0.6887095737457275,0.4866666666666667,7.907579381819046e-16,38323
3,1500,2,vanilla,0.6910514855384826,0.4866666666666667,0.0003938446073637,283970
3,1500,2,symmetric_aug,0.6365212718645732,0.6533333333333333,5.689073016842122e-15,38323
