model depth,data_size,seed,model,loss,accuracy,symmetry_error
5,500,0,symmetric,0.6900879144668579,0.52,9.212630289880218e-16
5,500,0,vanilla,0.6809819936752319,0.6,0.00021821530826855452
5,500,0,symmetric_aug,0.681545615196228,0.44,2.0267120806312463e-15
5,500,0,vanilla_aug,0.6913442015647888,0.54,0.018113852851092814
5,500,1,symmetric,0.6616014242172241,0.62,8.714973234138135e-16
5,500,1,vanilla,0.7082334756851196,0.48,2.0329751350800507e-05
5,500,1,symmetric_aug,0.6970095634460449,0.48,6.861178101601054e-16
5,500,1,vanilla_aug,0.6915411949157715,0.52,2.2807933873991716e-06
5,500,2,symmetric,0.6254885196685791,0.72,8.892331133623108e-16
5,500,2,vanilla,0.6929877996444702,0.46,2.162961973226629e-05
5,500,2,symmetric_aug,0.576405942440033,0.76,1.9949874568555497e-15
5,500,2,vanilla_aug,0.6940611004829407,0.52,0.005718997959047556
5,500,3,symmetric,0.6932817101478577,0.56,2.0918821603182817e-15
5,500,3,vanilla,0.7681211233139038,0.42,0.02584146521985531
5,500,3,symmetric_aug,0.7051875591278076,0.46,1.3282708198852736e-15
5,500,3,vanilla_aug,0.7168206572532654,0.42,0.0010992271360009908
5,500,4,symmetric,0.6304726600646973,0.6,2.423700117625102e-15
5,500,4,vanilla,0.6807124614715576,0.58,0.0005279979843180627
5,500,4,symmetric_aug,0.6436363458633423,0.68,1.6401879286787675e-15
5,500,4,vanilla_aug,0.6447036862373352,0.62,0.024810125306248664
5,1500,0,symmetric,0.6174272553126017,0.64,3.0617186289504764e-15
5,1500,0,vanilla,0.6828493595123291,0.5133333333333333,0.07634762823581695
5,1500,0,symmetric_aug,0.6207185610135396,0.64,2.751836559164408e-15
5,1500,0,vanilla_aug,0.6428122615814209,0.6066666666666667,0.06699000919858615
5,1500,1,symmetric,0.6419571336110433,0.6266666666666667,3.562512297106497e-15
5,1500,1,vanilla,0.6801463031768799,0.5333333333333333,0.015717336970070998
5,1500,1,symmetric_aug,0.6369182785352071,0.64,3.98771665328764e-15
5,1500,1,vanilla_aug,0.6745275712013244,0.5933333333333334,0.024187582110365233
5,1500,2,symmetric,0.6402864050865174,0.6533333333333333,1.6740791427372067e-15
5,1500,2,vanilla,0.6960034020741781,0.5133333333333333,0.014926456846296787
5,1500,2,symmetric_aug,0.6407460268338522,0.6466666666666666,2.205637188709661e-15
5,1500,2,vanilla_aug,0.6800293493270874,0.5933333333333334,0.005229636561125517
5,1500,3,symmetric,0.6733434534072876,0.6,3.748716439286004e-15
5,1500,3,vanilla,0.7073889787991842,0.4666666666666667,0.028388830025990804
5,1500,3,symmetric_aug,0.6459736291567485,0.62,3.0635144587949897e-15
5,1500,3,vanilla_aug,0.6780007719993592,0.58,0.042307123914361
5,1500,4,symmetric,0.6009493978818258,0.66,2.950956210313394e-15
5,1500,4,vanilla,0.6891950766245524,0.58,0.0008536154753528535
5,1500,4,symmetric_aug,0.631779088973999,0.6933333333333334,4.19730542696506e-15
5,1500,4,vanilla_aug,0.6294020676612854,0.6666666666666666,0.06402122949560483
5,4110,0,symmetric,0.6549852138018086,0.610705596107056,3.806508551423707e-15
5,4110,0,vanilla,0.7057641849030544,0.49878345498783455,0.26597027991499217
5,4110,0,symmetric_aug,0.6440577208270701,0.6131386861313869,5.581690773934588e-15
5,4110,0,vanilla_aug,0.6551928378079639,0.6131386861313869,0.035407484828361445
5,4110,1,symmetric,0.6222611385830418,0.656934306569343,3.790311145739131e-15
5,4110,1,vanilla,0.7492167189753549,0.5158150851581509,0.34451738681112015
5,4110,1,symmetric_aug,0.6061543155180567,0.6593673965936739,3.472894376048939e-15
5,4110,1,vanilla_aug,0.6645462807367608,0.5912408759124088,0.04521581647651536
5,4110,2,symmetric,0.5827611609386991,0.6545012165450121,3.626511472731915e-15
5,4110,2,vanilla,0.6993035050494247,0.48418491484184917,0.371857259954725
5,4110,2,symmetric_aug,0.5717556330119317,0.6861313868613139,4.141022771907757e-15
5,4110,2,vanilla_aug,0.6520208875918331,0.6228710462287105,0.029417740872928075
5,4110,3,symmetric,0.6210865334872782,0.6301703163017032,3.7832969808573896e-15
5,4110,3,vanilla,0.7363606794327134,0.49391727493917276,0.3540949204138347
5,4110,3,symmetric_aug,0.6183283128877626,0.6326034063260341,3.286688101161475e-15
5,4110,3,vanilla_aug,0.6098755553110963,0.6763990267639902,0.05338869243860245
5,4110,4,symmetric,0.6439656436878399,0.6520681265206812,5.503281914145382e-15
5,4110,4,vanilla,0.7263202246668276,0.49148418491484186,0.18287088785852704
5,4110,4,symmetric_aug,0.6389629411581369,0.6496350364963503,4.767802576819998e-15
5,4110,4,vanilla_aug,0.6586656296340219,0.610705596107056,0.037102877721190454
7,500,0,symmetric,0.7071862816810608,0.44,6.726841111386245e-16
7,500,0,vanilla,0.7072525024414062,0.4,0.00011908000014955178
7,500,0,symmetric_aug,0.6736753582954407,0.62,1.0689227145565735e-15
7,500,0,vanilla_aug,0.7109864950180054,0.4,0.01183618800714612
7,500,1,symmetric,0.6635653972625732,0.6,1.3339607001809834e-15
7,500,1,vanilla,0.6945974826812744,0.48,4.775503839482553e-06
7,500,1,symmetric_aug,0.6717513799667358,0.6,1.0527689492194868e-15
7,500,1,vanilla_aug,0.6577571034431458,0.64,0.01984057407826185
7,500,2,symmetric,0.6563407778739929,0.6,1.2463155329747972e-15
7,500,2,vanilla,0.7431280016899109,0.38,0.05194223448634148
7,500,2,symmetric_aug,0.622057318687439,0.68,1.6637802103036996e-15
7,500,2,vanilla_aug,0.6854150295257568,0.62,0.012614330649375916
7,500,3,symmetric,0.7058625221252441,0.48,1.7360557105720723e-15
7,500,3,vanilla,0.698494553565979,0.42,0.0010412772535346448
7,500,3,symmetric_aug,0.7224436402320862,0.46,7.981254342864264e-16
7,500,3,vanilla_aug,0.6652652621269226,0.6,0.05834122374653816
7,500,4,symmetric,0.6538040041923523,0.62,1.8534062808868194e-15
7,500,4,vanilla,0.6626014709472656,0.58,0.005536684021353722
7,500,4,symmetric_aug,0.6363701820373535,0.6,1.7867651590802877e-15
