model depth,data_size,model,loss_mean,loss_std,loss_n_seeds_used,accuracy_mean,accuracy_std,accuracy_n_seeds_used,symmetry_error_mean,symmetry_error_std,symmetry_error_n_seeds_used,n_params
5,4110,symmetric,0.6291044385860532,0.012883574313472803,3,0.6455798864557988,0.013400414956900468,3,3.793372226006742e-15,1.1904701228605437e-17,3,587571
5,4110,symmetric_aug,0.6211485231879853,0.016585133966924848,3,0.6472019464720195,0.013546871929026824,3,4.1272399082588984e-15,6.475641185271212e-16,3,587571
5,4110,vanilla,0.7228150296675317,0.015596511256148936,3,0.494728304947283,0.003716606403046088,3,0.321527529046649,0.04835171388674368,3,1222146
5,4110,vanilla_aug,0.6552931183446064,0.0033235058810433273,3,0.6155717761557178,0.0064373511218116485,3,0.039242059675355705,0.005242415188137447,3,1222146
7,500,symmetric,0.6752562324206034,0.026750841266037977,3,0.5599999999999999,0.06928203230275508,3,1.438777314575951e-15,2.6115369493493716e-16,3,1654451
7,500,symmetric_aug,0.6605989734331766,0.02100478927599767,3,0.6066666666666666,0.011547005383792533,3,1.2618239580265867e-15,3.4819801491699796e-16,3,1654451
7,500,vanilla,0.7001148462295532,0.006481233873195453,3,0.43333333333333335,0.04163331998932264,3,0.0022323470916792666,0.0028985503018139,3,1435778
7,500,vanilla_aug,0.6694791316986084,0.014302368383354526,3,0.62,0.020000000000000018,3,0.015320497192442365,0.003939841566870272,3,1435778
7,1500,symmetric,0.6396756974856058,0.020604345024665485,3,0.6244444444444445,0.007698003589194979,3,2.7056416527400315e-15,4.547741692761816e-16,3,1654451
7,1500,symmetric_aug,0.646307377020518,0.010445391171036815,3,0.6355555555555555,0.016777409856157218,3,3.030985113720623e-15,4.3477400531953554e-16,3,1654451
7,1500,vanilla,0.693832705815633,0.009280417117316897,3,0.508888888888889,0.0038490017945974737,3,0.05791857708245513,0.05240767632934993,3,1435778
7,1500,vanilla_aug,0.6486075117852953,0.009165682247935004,3,0.6266666666666666,0.02403700850309325,3,0.040936113935377834,0.007471262476319251,3,1435778
7,4110,symmetric,0.6279217681552178,0.02572384634115426,3,0.6423357664233577,0.006437351121811659,3,3.513948776318973e-15,6.633694113103177e-16,3,1654451
7,4110,symmetric_aug,0.6157231572093949,0.015179335431476253,3,0.6553122465531224,0.02363147166964059,3,4.661701731405306e-15,8.948259391213691e-17,3,1654451
7,4110,vanilla,0.7233724327273032,0.016743699539063416,3,0.4955393349553933,0.007821290154901052,3,0.19513245253335862,0.07394954826323466,3,1435778
7,4110,vanilla_aug,0.654149970482349,0.00984297357586864,3,0.6131386861313869,0.01754526168108995,3,0.038535062525243934,0.00636815584358828,3,1435778
