model,loss,acc,sym_error,log10_sym_error
symmetric (data augmented),0.6353393622958102,0.6186482833198161,3.4035357068414464e-15,-14.577041562304167
symmetric,0.6361029234103945,0.63338199513382,3.403896328821892e-15,-14.58337596582686
vanilla (data augmented),0.6705906784898624,0.5572046499053799,0.03169026199035918,-1.664275941255729
vanilla,5.476640025492326,0.48090835360908357,65.58561713898939,1.4059514740654124
