task,n_block,data_size,vanilla_loss,shared_loss,vanilla_symmetry,shared_symmetry,vanilla_size,shared_size,loss_gain,symmetry_gain,size_ratio
DeepSet,1,50,1.2169815301895142,1.9139041900634766,0.0,0.0,345,651,-0.6969226598739624,0.0,0.5299539170506913
DeepSet,1,100,0.31713756918907166,0.8289483785629272,0.0,0.0,345,651,-0.5118108093738556,0.0,0.5299539170506913
DeepSet,1,500,0.009294915944337845,0.008387473411858082,0.0,0.0,345,651,0.000907442532479763,0.0,0.5299539170506913
DeepSet,1,1000,0.016081279143691063,0.002987501909956336,0.0,0.0,345,651,0.013093777233734727,0.0,0.5299539170506913
DeepSet,1,5000,0.017933864146471024,0.022835956886410713,0.0,0.0,345,651,-0.00490209273993969,0.0,0.5299539170506913
DeepSet,1,10000,0.025739222764968872,0.7020964622497559,0.0,0.0,345,651,-0.676357239484787,0.0,0.5299539170506913
DeepSet,2,50,0.880283534526825,0.2126384675502777,0.0917242243885994,0.0,1297,651,0.6676450669765472,0.0917242243885994,1.9923195084485408
DeepSet,2,100,0.9173065423965454,0.45278939604759216,0.07026707381010056,0.0,1297,651,0.46451714634895325,0.07026707381010056,1.9923195084485408
DeepSet,2,500,0.07510454952716827,0.1334587037563324,0.006363256834447384,0.0,1297,651,-0.058354154229164124,0.006363256834447384,1.9923195084485408
DeepSet,2,1000,0.08869732171297073,0.1501719057559967,0.009627013467252254,0.0,1297,651,-0.06147458404302597,0.009627013467252254,1.9923195084485408
DeepSet,2,5000,0.07103128731250763,0.26040276885032654,0.012367496266961098,0.0,1297,651,-0.1893714815378189,0.012367496266961098,1.9923195084485408
DeepSet,2,10000,0.030599776655435562,0.034346867352724075,0.021907087415456772,0.0,1297,651,-0.003747090697288513,0.021907087415456772,1.9923195084485408
DeepSet,5,50,7.860556125640869,2.9397969245910645,3.930119752883911,1.8974331654486587e-12,7801,651,4.920759201049805,3.9301197528820135,11.98310291858679
DeepSet,5,100,1.5829966068267822,0.8217141032218933,2.927666664123535,7.132711088431165e-12,7801,651,0.7612825036048889,2.9276666641164026,11.98310291858679
DeepSet,5,500,3.118881940841675,0.8962743282318115,1.248448133468628,1.6420042409093227e-12,7801,651,2.2226076126098633,1.248448133466986,11.98310291858679
DeepSet,5,1000,1.123897910118103,0.6902608275413513,0.834633469581604,7.2274525773907694e-12,7801,651,0.4336370825767517,0.8346334695743766,11.98310291858679
DeepSet,5,5000,0.6011963486671448,0.12863889336585999,0.2988724112510681,6.473041720689299e-12,7801,651,0.4725574553012848,0.29887241124459507,11.98310291858679
DeepSet,5,10000,0.5431463718414307,0.18944887816905975,0.17771844565868378,7.182880592399021e-12,7801,651,0.3536974936723709,0.17771844565150088,11.98310291858679
DeepSet,10,50,26.263452529907227,6.573178291320801,18.997638702392578,1.1837072988463149e-11,30801,651,19.690274238586426,18.99763870238074,47.31336405529954
DeepSet,10,100,20.202251434326172,8.815582275390625,7.707294464111328,1.121649322900764e-12,30801,651,11.386669158935547,7.707294464110206,47.31336405529954
DeepSet,10,500,8.421285629272461,2.1465225219726562,6.484780788421631,6.121339546361071e-12,30801,651,6.274763107299805,6.4847807884155095,47.31336405529954
DeepSet,10,1000,6.059950351715088,0.2719302773475647,4.377725601196289,6.349988677240015e-12,30801,651,5.788020074367523,4.3777256011899395,47.31336405529954
DeepSet,10,5000,5.463531017303467,0.20930206775665283,2.5472512245178223,9.651090690510067e-12,30801,651,5.254228949546814,2.5472512245081713,47.31336405529954
DeepSet,10,10000,2.2542293071746826,0.3872407078742981,1.5563642978668213,7.030854197453973e-12,30801,651,1.8669885993003845,1.5563642978597905,47.31336405529954
DeepSet,20,50,80.29854583740234,1671.447998046875,38.934940338134766,1.0835774856869044e-15,122401,651,-1591.1494522094727,38.934940338134766,188.01996927803378
DeepSet,20,100,32.50872802734375,1160.210205078125,31.93209457397461,5.773158854548087e-17,122401,651,-1127.7014770507812,31.93209457397461,188.01996927803378
DeepSet,20,500,28.658124923706055,2.4342710971832275,23.4421443939209,2.0785758531038923e-11,122401,651,26.223853826522827,23.44214439390011,188.01996927803378
DeepSet,20,1000,21.783823013305664,3.651057243347168,20.79598617553711,2.246456146104414e-11,122401,651,18.132765769958496,20.795986175514646,188.01996927803378
DeepSet,20,5000,13.590187072753906,0.8154234886169434,11.141838073730469,3.772335915863678e-11,122401,651,12.774763584136963,11.141838073692746,188.01996927803378
DeepSet,20,10000,13.14099407196045,0.8399295806884766,8.592630386352539,2.1761027008126987e-11,122401,651,12.301064491271973,8.592630386330779,188.01996927803378
