n_block,data_size,model,loss_mean,loss_std,loss_n_seeds_used,symmetry_error_mean,symmetry_error_std,symmetry_error_n_seeds_used,n_params
5,1000,vanilla,1.3566474914550781,0.26271748782669146,3,0.7280471324920654,0.038131582012888354,3,7801
5,1000,vanilla_aug,0.7865234613418579,0.1081326799590431,3,0.22173246741294858,0.025028103752304683,3,7801
5,5000,shared,0.2640711367130279,0.02455529132196105,3,6.716241567524446e-12,1.2715221232804507e-12,3,651
5,5000,shared_aug,0.2588505993286768,0.11173628467952598,3,7.482558554242994e-12,5.903874823079781e-12,3,651
5,5000,vanilla,0.7082724769910177,0.12329052417809858,3,0.19878515104452768,0.028276758451228134,3,7801
5,5000,vanilla_aug,0.3678102195262909,0.04354965339465574,3,0.13657809048891065,0.020103850331168942,3,7801
5,10000,shared,0.1843906839688619,0.051148864393559874,3,7.594672431452768e-12,1.6064486807885961e-12,3,651
5,10000,shared_aug,0.17110524078210196,0.021739809968786734,3,3.586739065475352e-11,3.451912046603876e-11,3,651
5,10000,vanilla,0.37611160675684613,0.04090855489583591,3,0.23048885663350419,0.0204850615234804,3,7801
5,10000,vanilla_aug,0.2775753786166509,0.07002713602103008,3,0.12234715620676669,0.023062376833397073,3,7801
10,50,shared,3.5983078479766846,0.4491439134305002,3,5.395778514387846e-12,3.4205055002799564e-12,3,651
10,50,shared_aug,4.526768525441487,1.7973750087649045,3,3.2065546687794675e-12,2.2118481609458943e-12,3,651
10,50,vanilla,16.751789093017578,3.3051055505832174,3,10.595929463704428,1.2452861326650069,3,30801
10,50,vanilla_aug,11.19716771443685,1.0394541838499562,3,4.144724289576213,0.386646540584381,3,30801
10,100,shared,8.978625694910685,9.08031096289849,3,4.273345638577027e-12,1.900297062444512e-12,3,651
10,100,shared_aug,7.525513092676799,5.651383897417717,3,3.691032216558236e-12,2.315235813470683e-12,3,651
10,100,vanilla,14.6563933690389,2.64010565113574,3,9.65006415049235,2.582024317817622,3,30801
10,100,vanilla_aug,10.050634543100992,4.703494442320649,3,2.881345351537069,0.31779085743219776,3,30801
10,500,shared,0.8869125644365946,0.32713890203103624,3,6.420354121035772e-12,1.3794019223084113e-12,3,651
10,500,shared_aug,1.4303613702456157,0.7408381525008655,3,5.640044131958548e-12,4.399154363957311e-12,3,651
10,500,vanilla,8.745660622914633,1.037412199115971,3,6.501912275950114,0.5666824871352625,3,30801
10,500,vanilla_aug,6.002641042073567,1.3307268524135358,3,2.6319448947906494,0.5132954822519454,3,30801
10,1000,shared,1.15289572874705,0.1390853983589852,3,7.2619949694855785e-12,2.058998757455095e-12,3,651
10,1000,shared_aug,1.033851166566213,0.23806104079179957,3,1.1895280767337812e-11,6.580343790105861e-12,3,651
10,1000,vanilla,7.428315003712972,0.6149999273827635,3,4.523797035217285,0.4089380938472114,3,30801
10,1000,vanilla_aug,5.461926778157552,0.792877334635687,3,2.1375927130381265,0.1637855933321128,3,30801
10,5000,shared,0.44903188943862915,0.12147866493453519,3,1.4453091790507985e-11,6.141914996394337e-12,3,651
10,5000,shared_aug,0.4022328754266103,0.07231398613527708,3,1.2887065835761232e-11,4.557020433822801e-12,3,651
10,5000,vanilla,5.116454283396403,0.1146845987517699,3,2.4565397103627524,0.16726234019682462,3,30801
10,5000,vanilla_aug,1.462218443552653,0.11321452548768707,3,0.37386158108711237,0.032544488935363484,3,30801
10,10000,shared,0.3956439395745595,0.10888486449009491,3,1.6578961004968622e-11,6.9645071086057425e-12,3,651
10,10000,shared_aug,0.34706634283065796,0.11330420055235427,3,9.275140262314055e-12,7.687007680371795e-12,3,651
10,10000,vanilla,3.7524378299713135,1.307265367377789,3,1.77203373114268,0.29237643955082404,3,30801
10,10000,vanilla_aug,1.3064521551132202,0.09925687291518055,3,0.3502456744511922,0.024945767821850155,3,30801
20,50,shared,10.982818762461344,6.633268857623852,3,1.5600863483011818e-11,3.0652170141987713e-12,3,651
20,50,shared_aug,17.724519570668537,12.75176718398211,3,1.1374745763348406e-11,6.854990880329126e-12,3,651
20,50,vanilla,49.30767822265625,3.556193617437494,3,33.55790011088053,6.934723512353599,3,122401
20,50,vanilla_aug,24.115389506022137,6.024495951910761,3,11.656120936075846,2.619247019178792,3,122401
20,100,shared,7.663451512654622,5.366843182675695,3,1.250289787789923e-11,5.648893637437669e-12,3,651
20,100,shared_aug,21.381580988566082,21.543348909251375,3,1.1345187665480946e-11,5.138771906497386e-12,3,651
20,100,vanilla,38.43911933898926,9.3467070318239,3,23.433977127075195,2.0429868026485365,3,122401
20,100,vanilla_aug,28.992437998453777,3.7198601400438593,3,9.616014321645102,2.0955922457930636,3,122401
20,500,shared,2.9385013580322266,0.4421433786475948,3,1.3312576446304162e-11,3.079618627902871e-12,3,651
20,500,shared_aug,3.2400874296824136,1.2683715206073929,3,1.9180343077684903e-11,3.5981820131585738e-12,3,651
20,500,vanilla,30.24233627319336,3.2229319495586184,3,14.245162645975748,3.019681322690961,3,122401
20,500,vanilla_aug,16.946478207906086,1.5296164639423242,3,7.130972544352214,0.8310675148697959,3,122401
20,1000,shared,2.670802434285482,0.34364860133592934,3,1.5831341446115307e-11,3.738690584129988e-12,3,651
20,1000,shared_aug,2.881036122639974,1.623460606100976,3,1.8405940544844828e-11,8.830137761002999e-12,3,651
20,1000,vanilla,23.370261510213215,0.6776540385303835,3,19.527886072794598,1.168144353369581,3,122401
20,1000,vanilla_aug,11.461156527201334,0.48488107661112245,3,6.703891277313232,0.15096649825076416,3,122401
20,5000,shared,0.8093459705511729,0.41447527225319525,3,2.3317539450210905e-11,7.109389412655121e-12,3,651
20,5000,shared_aug,1.1116481026013691,0.23433402292168012,3,4.477383278948347e-11,2.60157450698441e-11,3,651
20,5000,vanilla,13.352581977844238,0.7125002699946771,3,9.77166716257731,0.3019928457014165,3,122401
20,5000,vanilla_aug,10.668703397115072,0.0944809338183728,3,4.41388734181722,0.3330960148799429,3,122401
20,10000,shared,0.7584258715311686,0.1585532976018125,3,2.5354518831677275e-11,7.952446598228298e-12,3,651
20,10000,shared_aug,0.5062855084737142,0.151113271259827,3,1.9866303625308095e-11,4.547079932032505e-12,3,651
20,10000,vanilla,12.591184298197428,0.160848202671696,3,7.911266485850017,0.16340300745138797,3,122401
20,10000,vanilla_aug,9.750648498535156,0.05907212730520958,3,3.4976802666982016,0.21775982754743503,3,122401
