k_sym,size_tag,data_size,model,loss_mean,loss_std,loss_n_seeds_used,symmetry_error_mean,symmetry_error_std,symmetry_error_n_seeds_used,n_params
2,medium,8000,shared_aug,5216.05029296875,1307.6425792141304,3,7.720910299990891e-10,4.496577074368733e-10,3,14972
2,medium,8000,vanilla,6128.402913411458,3985.9544069861886,3,4713.947428385417,2522.9309011943,3,20272
2,medium,8000,vanilla_aug,3666.787312825521,2447.948768869141,3,1424.8233846028645,667.1341988400037,3,20272
2,large,500,shared,344.58379618326825,181.03568170844272,3,7.663346519859449e-12,3.695651369846507e-12,3,32988
2,large,500,shared_aug,333.90272521972656,195.488907105021,3,6.897413918951119e-12,2.800014649558929e-12,3,32988
2,large,500,vanilla,427.7030537923177,105.16167541107598,3,116.71959177652995,41.6865955555421,3,30304
2,large,500,vanilla_aug,296.2613932291667,125.01197731726425,3,9.413235346476236,5.692225527282887,3,30304
2,large,2000,shared,2153.910400390625,1513.2578989152034,3,1.9033948028823744e-10,6.753048118823097e-11,3,32988
2,large,2000,shared_aug,2450.395304361979,1968.9010481184314,3,1.9346400870201563e-10,7.570226472695236e-11,3,32988
2,large,2000,vanilla,3106.3460286458335,2558.0153650419206,3,1216.7323404947917,504.40928192467146,3,30304
2,large,2000,vanilla_aug,2203.114542643229,1265.7591573202021,3,481.4340311686198,503.0834172651065,3,30304
2,large,8000,shared,3652.628133138021,1448.0867256468043,3,1.1576297883249727e-09,6.320761953023025e-10,3,32988
2,large,8000,shared_aug,3128.209269205729,1174.8703352221912,3,1.078677073588589e-09,4.865406417160113e-10,3,32988
2,large,8000,vanilla,3988.9912109375,2564.66833982514,3,2899.9691569010415,519.582307599185,3,30304
2,large,8000,vanilla_aug,2272.9597981770835,1008.2311473117203,3,762.0271402994791,244.4824371521827,3,30304
3,small,500,shared,330.0409240722656,173.76033108109303,3,5.189739003125249e-12,9.789461167442035e-13,3,1992
3,small,500,shared_aug,331.70387776692706,161.9582011518617,3,5.133244697363981e-12,1.0043281455798226e-12,3,1992
3,small,500,vanilla,413.6758524576823,114.89966030970483,3,51.69727719624837,24.740411501541413,3,3952
3,small,500,vanilla_aug,328.4636942545573,155.9463785599149,3,17.10378023783366,3.7121282362465418,3,3952
3,small,2000,shared,2451.7122395833335,934.4999712581338,3,9.5203065569871e-11,2.883784331078729e-11,3,1992
3,small,2000,shared_aug,2275.9317626953125,930.9021981301141,3,1.0510183209855305e-10,4.9825483769034786e-11,3,1992
3,small,2000,vanilla,3383.3453369140625,2626.067101669643,3,1565.2820841471355,1235.515073477753,3,3952
3,small,2000,vanilla_aug,2726.0078125,1960.7729966630507,3,538.3583419799805,427.2308096533916,3,3952
