width_tag,data_size,acc__symmetric,acc__symmetric (data augmented),acc__vanilla,acc__vanilla (data augmented),loss__symmetric,loss__symmetric (data augmented),loss__vanilla,loss__vanilla (data augmented),sym_error__symmetric,sym_error__symmetric (data augmented),sym_error__vanilla,sym_error__vanilla (data augmented),loss_gain_shared_vs_vanilla,loss_gain_sharedaug_vs_vanillaaug,acc_gain_shared_vs_vanilla,acc_gain_sharedaug_vs_vanillaaug
3,500,0.66,0.72,0.36,0.44,0.6321879625320435,0.5570729970932007,1.0809837579727173,0.6934324502944946,3.33633059974327e-15,4.354044074001101e-15,0.3412201553583145,0.006668172869831323,0.44879579544067383,0.13635945320129395,0.30000000000000004,0.27999999999999997
3,1500,0.6466666666666666,0.64,0.56,0.6333333333333333,0.6706274954477945,0.6480799587567647,2.122624373435974,0.6599831430117289,5.658142168817121e-15,5.746720865151692e-15,9.5591828028361,0.02248163359860579,1.4519968779881798,0.011903184254964172,0.08666666666666656,0.00666666666666671
3,4110,0.6593673965936739,0.6690997566909975,0.5231143552311436,0.6642335766423357,0.6036723190850585,0.6064215578011932,3.5493629030937695,0.611724000052524,9.27081221162211e-15,6.8118363723183586e-15,19.615128135681154,0.028081578388810157,2.945690584008711,0.005302442251330808,0.13625304136253036,0.0048661800486617945
5,500,0.58,0.54,0.44,0.46,0.6705159544944763,0.6904081702232361,2.5500197410583496,0.6856012940406799,9.483245987462296e-16,1.941835228854924e-15,18.888425064086913,0.0021379754645749925,1.8795037865638733,-0.004806876182556152,0.13999999999999996,0.08000000000000002
5,1500,0.6133333333333333,0.62,0.5266666666666666,0.56,0.6359653250376384,0.645013910929362,6.076594053904215,0.6620315408706665,2.3052815693481133e-15,1.3106963861839245e-15,36.70659141540527,0.030776995544632275,5.440628728866577,0.017017629941304513,0.08666666666666667,0.05999999999999994
5,4110,0.6326034063260341,0.6642335766423357,0.5206812652068127,0.6131386861313869,0.6041330220925547,0.5930183189048674,9.235890629807818,0.6241511982432827,3.857893617611594e-15,4.3140712339674545e-15,161.41478206089565,0.052861743313925603,8.631757607715263,0.031132879338415242,0.11192214111922139,0.05109489051094884
7,500,0.68,0.4,0.34,0.46,0.6284816265106201,0.7138388156890869,5.400649547576904,0.7253846526145935,1.1180776140846049e-15,4.725108498237649e-16,25.39787063598633,0.021859706565737724,4.772167921066284,0.011545836925506592,0.34,-0.06
7,1500,0.5666666666666667,0.66,0.52,0.5466666666666666,0.6655401714642842,0.6567976148923238,10.6589026705424,0.7476123785972595,1.1315763793536506e-15,1.9339876732982418e-15,135.2701680501302,0.0785541775325934,9.993362499078115,0.09081476370493569,0.046666666666666634,0.1133333333333334
7,4110,0.6618004866180048,0.6545012165450121,0.537712895377129,0.6374695863746959,0.6138024340290803,0.6074029163722574,8.614732552038783,0.6253954486835321,3.0086282000703333e-15,3.74611867797356e-15,183.07718593052456,0.04179037463452135,8.000930118009702,0.017992532311274734,0.12408759124087587,0.01703163017031628
